number,value,datetime_start,datetime_complete,duration,params_Max_iter,params_SearchAgents_no,params_ap,params_e_loss,params_s_force,state,SearchAgents_no,Max_iter,s_force,e_loss,ap,best_value,record_type
34.0,0.0,2024-04-12 12:55:00.911352,2024-04-12 12:55:00.960380,0 days 00:00:00.049028,10.0,10.0,0.16,0.37,0.24000000000000002,COMPLETE,,,,,,,
35.0,0.0,2024-04-12 12:55:00.962352,2024-04-12 12:55:01.238356,0 days 00:00:00.276004,70.0,90.0,0.72,0.21000000000000002,0.96,COMPLETE,,,,,,,
36.0,0.0,2024-04-12 12:55:01.239353,2024-04-12 12:55:01.391467,0 days 00:00:00.152114,60.0,50.0,0.52,0.85,0.42000000000000004,COMPLETE,,,,,,,
37.0,0.0,2024-04-12 12:55:01.392432,2024-04-12 12:55:01.517443,0 days 00:00:00.125011,40.0,60.0,0.9,0.33,0.9,COMPLETE,,,,,,,
38.0,0.0,2024-04-12 12:55:01.518445,2024-04-12 12:55:01.609443,0 days 00:00:00.090998,70.0,20.0,0.33999999999999997,0.77,0.30000000000000004,COMPLETE,,,,,,,
39.0,0.0,2024-04-12 12:55:01.610420,2024-04-12 12:55:01.928443,0 days 00:00:00.318023,90.0,80.0,0.42000000000000004,0.93,0.48,COMPLETE,,,,,,,
40.0,0.0,2024-04-12 12:55:01.929444,2024-04-12 12:55:02.093445,0 days 00:00:00.164001,50.0,70.0,0.6,0.13,0.36,COMPLETE,,,,,,,
41.0,0.0,2024-04-12 12:55:02.094420,2024-04-12 12:55:02.159439,0 days 00:00:00.065019,60.0,10.0,0.45999999999999996,0.81,1.0,COMPLETE,,,,,,,
42.0,0.0,2024-04-12 12:55:02.160419,2024-04-12 12:55:02.200444,0 days 00:00:00.040025,10.0,10.0,0.26,0.6900000000000001,0.92,COMPLETE,,,,,,,
43.0,0.0,2024-04-12 12:55:02.201417,2024-04-12 12:55:02.253441,0 days 00:00:00.052024,20.0,20.0,0.12000000000000001,0.91,0.82,COMPLETE,,,,,,,
44.0,0.0,2024-04-12 12:55:02.254420,2024-04-12 12:55:02.324444,0 days 00:00:00.070024,30.0,30.0,0.74,0.59,0.56,COMPLETE,,,,,,,
45.0,0.0,2024-04-12 12:55:02.325446,2024-04-12 12:55:02.380445,0 days 00:00:00.054999,40.0,10.0,0.54,0.51,0.94,COMPLETE,,,,,,,
46.0,0.0,2024-04-12 12:55:02.381419,2024-04-12 12:55:02.433439,0 days 00:00:00.052020,20.0,20.0,0.30000000000000004,0.85,0.88,COMPLETE,,,,,,,
47.0,0.0,2024-04-12 12:55:02.434420,2024-04-12 12:55:02.789441,0 days 00:00:00.355021,80.0,100.0,0.36,0.73,1.0,COMPLETE,,,,,,,
48.0,0.0,2024-04-12 12:55:02.790419,2024-04-12 12:55:02.830443,0 days 00:00:00.040024,10.0,10.0,0.24000000000000002,0.06999999999999999,0.78,COMPLETE,,,,,,,
49.0,0.0,2024-04-12 12:55:02.831445,2024-04-12 12:55:02.931445,0 days 00:00:00.100000,80.0,20.0,0.16,0.9500000000000001,0.6799999999999999,COMPLETE,,,,,,,
50.0,0.0,2024-04-12 12:55:02.933420,2024-04-12 12:55:03.048418,0 days 00:00:00.114998,50.0,40.0,0.86,0.79,0.86,COMPLETE,,,,,,,
51.0,0.0,2024-04-12 12:55:03.049419,2024-04-12 12:55:03.269440,0 days 00:00:00.220021,60.0,80.0,0.48,0.45,0.16,COMPLETE,,,,,,,
52.0,0.0,2024-04-12 12:55:03.270440,2024-04-12 12:55:03.465444,0 days 00:00:00.195004,70.0,60.0,0.58,0.63,0.44000000000000006,COMPLETE,,,,,,,
53.0,0.0,2024-04-12 12:55:03.466420,2024-04-12 12:55:03.615177,0 days 00:00:00.148757,60.0,50.0,0.64,0.23,0.12000000000000001,COMPLETE,,,,,,,
54.0,0.0,2024-04-12 12:55:03.617145,2024-04-12 12:55:03.739145,0 days 00:00:00.122000,70.0,30.0,0.5,0.55,0.22,COMPLETE,,,,,,,
55.0,0.0,2024-04-12 12:55:03.740144,2024-04-12 12:55:03.974146,0 days 00:00:00.234002,50.0,100.0,0.2,0.7100000000000001,0.18,COMPLETE,,,,,,,
56.0,0.0,2024-04-12 12:55:03.975144,2024-04-12 12:55:04.092166,0 days 00:00:00.117022,30.0,70.0,0.38,0.39,0.30000000000000004,COMPLETE,,,,,,,
57.0,0.0,2024-04-12 12:55:04.093171,2024-04-12 12:55:04.269172,0 days 00:00:00.176001,40.0,90.0,0.32,0.17,0.38,COMPLETE,,,,,,,
58.0,0.0,2024-04-12 12:55:04.270144,2024-04-12 12:55:04.336170,0 days 00:00:00.066026,60.0,10.0,0.42000000000000004,0.47000000000000003,0.6,COMPLETE,,,,,,,
59.0,0.0,2024-04-12 12:55:04.337145,2024-04-12 12:55:04.415173,0 days 00:00:00.078028,50.0,20.0,0.82,0.31,0.1,COMPLETE,,,,,,,
60.0,0.0,2024-04-12 12:55:04.416146,2024-04-12 12:55:04.679167,0 days 00:00:00.263021,70.0,80.0,0.28,0.87,0.26,COMPLETE,,,,,,,
61.0,0.0,2024-04-12 12:55:04.680145,2024-04-12 12:55:04.732172,0 days 00:00:00.052027,30.0,10.0,0.56,0.21000000000000002,0.82,COMPLETE,,,,,,,
62.0,0.0,2024-04-12 12:55:04.733144,2024-04-12 12:55:04.789168,0 days 00:00:00.056024,20.0,20.0,0.7,0.35000000000000003,0.94,COMPLETE,,,,,,,
63.0,0.0,2024-04-12 12:55:04.790144,2024-04-12 12:55:04.845167,0 days 00:00:00.055023,40.0,10.0,0.74,0.05,0.96,COMPLETE,,,,,,,
64.0,0.0,2024-04-12 12:55:04.846145,2024-04-12 12:55:04.930143,0 days 00:00:00.083998,60.0,20.0,0.12000000000000001,0.13,0.22,COMPLETE,,,,,,,
65.0,0.0,2024-04-12 12:55:04.931171,2024-04-12 12:55:05.029148,0 days 00:00:00.097977,50.0,30.0,0.52,0.27,0.52,COMPLETE,,,,,,,
66.0,0.0,2024-04-12 12:55:05.030144,2024-04-12 12:55:05.134167,0 days 00:00:00.104023,20.0,90.0,0.98,0.01,0.72,COMPLETE,,,,,,,
67.0,0.0,2024-04-12 12:55:05.136145,2024-04-12 12:55:05.268146,0 days 00:00:00.132001,60.0,40.0,0.62,0.41000000000000003,0.9,COMPLETE,,,,,,,
68.0,0.0,2024-04-12 12:55:05.269145,2024-04-12 12:55:05.328145,0 days 00:00:00.059000,10.0,50.0,0.2,0.21000000000000002,0.32,COMPLETE,,,,,,,
69.0,0.0,2024-04-12 12:55:05.330144,2024-04-12 12:55:05.389144,0 days 00:00:00.059000,40.0,10.0,0.44000000000000006,0.29000000000000004,0.18,COMPLETE,,,,,,,
70.0,0.0,2024-04-12 12:55:05.390168,2024-04-12 12:55:05.447171,0 days 00:00:00.057003,30.0,10.0,0.38,0.97,0.98,COMPLETE,,,,,,,
71.0,0.0,2024-04-12 12:55:05.449145,2024-04-12 12:55:05.523166,0 days 00:00:00.074021,70.0,10.0,0.92,0.75,0.45999999999999996,COMPLETE,,,,,,,
72.0,0.0,2024-04-12 12:55:05.524167,2024-04-12 12:55:05.617144,0 days 00:00:00.092977,60.0,20.0,0.78,0.81,0.42000000000000004,COMPLETE,,,,,,,
73.0,0.0,2024-04-12 12:55:05.618167,2024-04-12 12:55:05.698125,0 days 00:00:00.079958,80.0,10.0,0.66,0.67,0.38,COMPLETE,,,,,,,
74.0,0.0,2024-04-12 12:55:05.699103,2024-04-12 12:55:05.790760,0 days 00:00:00.091657,60.0,20.0,1.0,0.91,0.24000000000000002,COMPLETE,,,,,,,
75.0,0.0,2024-04-12 12:55:05.791737,2024-04-12 12:55:05.919757,0 days 00:00:00.128020,70.0,30.0,0.56,0.61,0.14,COMPLETE,,,,,,,
76.0,0.0,2024-04-12 12:55:05.920761,2024-04-12 12:55:06.037738,0 days 00:00:00.116977,50.0,40.0,0.82,0.35000000000000003,0.56,COMPLETE,,,,,,,
77.0,0.0,2024-04-12 12:55:06.038737,2024-04-12 12:55:06.120758,0 days 00:00:00.082021,100.0,10.0,0.92,0.17,0.28,COMPLETE,,,,,,,
78.0,0.0,2024-04-12 12:55:06.121736,2024-04-12 12:55:06.198762,0 days 00:00:00.077026,80.0,10.0,0.45999999999999996,0.77,0.78,COMPLETE,,,,,,,
79.0,0.0,2024-04-12 12:55:06.199760,2024-04-12 12:55:06.414736,0 days 00:00:00.214976,50.0,90.0,0.18,0.49,0.33999999999999997,COMPLETE,,,,,,,
80.0,0.0,2024-04-12 12:55:06.415735,2024-04-12 12:55:06.618760,0 days 00:00:00.203025,70.0,60.0,0.24000000000000002,0.85,0.5,COMPLETE,,,,,,,
81.0,0.0,2024-04-12 12:55:06.620738,2024-04-12 12:55:06.743760,0 days 00:00:00.123022,100.0,20.0,0.7,0.89,0.98,COMPLETE,,,,,,,
82.0,0.0,2024-04-12 12:55:06.744737,2024-04-12 12:55:07.031760,0 days 00:00:00.287023,90.0,70.0,0.86,0.7100000000000001,0.92,COMPLETE,,,,,,,
83.0,0.0,2024-04-12 12:55:07.032758,2024-04-12 12:55:07.145761,0 days 00:00:00.113003,60.0,30.0,0.96,0.8300000000000001,0.86,COMPLETE,,,,,,,
84.0,0.0,2024-04-12 12:55:07.147739,2024-04-12 12:55:07.265758,0 days 00:00:00.118019,90.0,20.0,0.6,0.81,1.0,COMPLETE,,,,,,,
85.0,0.0,2024-04-12 12:55:07.266742,2024-04-12 12:55:07.436759,0 days 00:00:00.170017,40.0,80.0,0.76,0.77,0.96,COMPLETE,,,,,,,
86.0,0.0,2024-04-12 12:55:07.437735,2024-04-12 12:55:07.503758,0 days 00:00:00.066023,60.0,10.0,0.33999999999999997,0.13,0.9,COMPLETE,,,,,,,
87.0,0.0,2024-04-12 12:55:07.505737,2024-04-12 12:55:07.583761,0 days 00:00:00.078024,10.0,100.0,0.12000000000000001,0.09,0.94,COMPLETE,,,,,,,
88.0,0.0,2024-04-12 12:55:07.585738,2024-04-12 12:55:07.644757,0 days 00:00:00.059019,30.0,10.0,0.5,0.43,0.64,COMPLETE,,,,,,,
89.0,0.0,2024-04-12 12:55:07.645761,2024-04-12 12:55:07.730760,0 days 00:00:00.084999,50.0,20.0,0.8,0.25,0.16,COMPLETE,,,,,,,
90.0,0.0,2024-04-12 12:55:07.732737,2024-04-12 12:55:07.785649,0 days 00:00:00.052912,20.0,10.0,0.6799999999999999,0.55,0.98,COMPLETE,,,,,,,
91.0,0.0,2024-04-12 12:55:07.787332,2024-04-12 12:55:08.067158,0 days 00:00:00.279826,100.0,60.0,0.54,0.87,0.62,COMPLETE,,,,,,,
92.0,0.0,2024-04-12 12:55:08.068156,2024-04-12 12:55:08.399019,0 days 00:00:00.330863,90.0,80.0,0.58,0.99,0.7,COMPLETE,,,,,,,
93.0,0.0,2024-04-12 12:55:08.400018,2024-04-12 12:55:08.645606,0 days 00:00:00.245588,100.0,50.0,0.4,0.93,0.82,COMPLETE,,,,,,,
94.0,0.0,2024-04-12 12:55:08.646617,2024-04-12 12:55:08.961608,0 days 00:00:00.314991,100.0,70.0,0.52,0.8300000000000001,0.52,COMPLETE,,,,,,,
95.0,0.0,2024-04-12 12:55:08.962628,2024-04-12 12:55:09.101631,0 days 00:00:00.139003,60.0,40.0,0.64,0.87,0.26,COMPLETE,,,,,,,
96.0,0.0,2024-04-12 12:55:09.102632,2024-04-12 12:55:09.253632,0 days 00:00:00.151000,90.0,30.0,0.48,0.79,0.32,COMPLETE,,,,,,,
97.0,0.0,2024-04-12 12:55:09.254607,2024-04-12 12:55:09.435628,0 days 00:00:00.181021,60.0,60.0,0.44000000000000006,0.31,0.2,COMPLETE,,,,,,,
98.0,0.0,2024-04-12 12:55:09.436608,2024-04-12 12:55:09.730629,0 days 00:00:00.294021,70.0,90.0,0.30000000000000004,0.9500000000000001,0.38,COMPLETE,,,,,,,
99.0,0.0,2024-04-12 12:55:09.731606,2024-04-12 12:55:09.816633,0 days 00:00:00.085027,50.0,20.0,0.58,0.73,0.12000000000000001,COMPLETE,,,,,,,
100.0,0.0,2024-04-12 12:55:09.817606,2024-04-12 12:55:10.138764,0 days 00:00:00.321158,100.0,70.0,0.14,0.67,0.92,COMPLETE,,,,,,,
101.0,0.0,2024-04-12 12:55:10.139763,2024-04-12 12:55:10.484741,0 days 00:00:00.344978,80.0,100.0,0.82,0.01,0.45999999999999996,COMPLETE,,,,,,,
102.0,0.0,2024-04-12 12:55:10.485746,2024-04-12 12:55:10.799742,0 days 00:00:00.313996,70.0,100.0,0.86,0.09,0.58,COMPLETE,,,,,,,
103.0,0.0,2024-04-12 12:55:10.800743,2024-04-12 12:55:11.059742,0 days 00:00:00.258999,60.0,90.0,0.76,0.91,0.54,COMPLETE,,,,,,,
104.0,0.0,2024-04-12 12:55:11.060742,2024-04-12 12:55:11.376766,0 days 00:00:00.316024,70.0,100.0,0.5,0.17,0.88,COMPLETE,,,,,,,
105.0,0.0,2024-04-12 12:55:11.377763,2024-04-12 12:55:11.454743,0 days 00:00:00.076980,80.0,10.0,0.72,0.05,1.0,COMPLETE,,,,,,,
106.0,0.0,2024-04-12 12:55:11.455742,2024-04-12 12:55:11.697765,0 days 00:00:00.242023,60.0,90.0,0.94,0.03,0.6,COMPLETE,,,,,,,
107.0,0.0,2024-04-12 12:55:11.698765,2024-04-12 12:55:11.782740,0 days 00:00:00.083975,90.0,10.0,0.88,0.37,0.66,COMPLETE,,,,,,,
108.0,0.0,2024-04-12 12:55:11.784744,2024-04-12 12:55:11.884767,0 days 00:00:00.100023,70.0,20.0,0.64,0.39,0.48,COMPLETE,,,,,,,
109.0,0.0,2024-04-12 12:55:11.886742,2024-04-12 12:55:12.053251,0 days 00:00:00.166509,40.0,80.0,0.36,0.06999999999999999,0.4,COMPLETE,,,,,,,
110.0,0.0,2024-04-12 12:55:12.054957,2024-04-12 12:55:12.121048,0 days 00:00:00.066091,50.0,10.0,0.1,0.19,0.96,COMPLETE,,,,,,,
111.0,0.0,2024-04-12 12:55:12.122047,2024-04-12 12:55:12.264105,0 days 00:00:00.142058,30.0,80.0,0.22,0.59,0.74,COMPLETE,,,,,,,
112.0,0.0,2024-04-12 12:55:12.265107,2024-04-12 12:55:12.419318,0 days 00:00:00.154211,40.0,70.0,0.24000000000000002,0.51,0.78,COMPLETE,,,,,,,
113.0,0.0,2024-04-12 12:55:12.420317,2024-04-12 12:55:12.631891,0 days 00:00:00.211574,60.0,70.0,0.30000000000000004,0.53,0.86,COMPLETE,,,,,,,
114.0,0.0,2024-04-12 12:55:12.632892,2024-04-12 12:55:12.723913,0 days 00:00:00.091021,20.0,60.0,0.26,0.47000000000000003,0.58,COMPLETE,,,,,,,
115.0,0.0,2024-04-12 12:55:12.724928,2024-04-12 12:55:12.917917,0 days 00:00:00.192989,50.0,80.0,0.4,0.03,0.94,COMPLETE,,,,,,,
116.0,0.0,2024-04-12 12:55:12.918890,2024-04-12 12:55:12.984910,0 days 00:00:00.066020,40.0,10.0,0.32,0.8300000000000001,0.54,COMPLETE,,,,,,,
117.0,0.0,2024-04-12 12:55:12.985910,2024-04-12 12:55:13.090914,0 days 00:00:00.105004,30.0,50.0,0.28,0.61,0.6799999999999999,COMPLETE,,,,,,,
118.0,0.0,2024-04-12 12:55:13.091889,2024-04-12 12:55:13.161889,0 days 00:00:00.070000,10.0,60.0,0.18,0.65,0.76,COMPLETE,,,,,,,
119.0,0.0,2024-04-12 12:55:13.162899,2024-04-12 12:55:13.237890,0 days 00:00:00.074991,60.0,10.0,0.54,0.75,0.42000000000000004,COMPLETE,,,,,,,
120.0,0.0,2024-04-12 12:55:13.238889,2024-04-12 12:55:13.651888,0 days 00:00:00.412999,100.0,90.0,0.8,0.89,0.28,COMPLETE,,,,,,,
121.0,0.0,2024-04-12 12:55:13.652888,2024-04-12 12:55:13.772910,0 days 00:00:00.120022,40.0,50.0,0.84,0.15000000000000002,0.36,COMPLETE,,,,,,,
122.0,0.0,2024-04-12 12:55:13.773889,2024-04-12 12:55:13.882913,0 days 00:00:00.109024,40.0,40.0,0.78,0.06999999999999999,0.44000000000000006,COMPLETE,,,,,,,
123.0,0.0,2024-04-12 12:55:13.883910,2024-04-12 12:55:13.967889,0 days 00:00:00.083979,50.0,20.0,0.76,0.11,0.44000000000000006,COMPLETE,,,,,,,
124.0,0.0,2024-04-12 12:55:13.968891,2024-04-12 12:55:14.067891,0 days 00:00:00.099000,30.0,50.0,0.62,0.01,0.5,COMPLETE,,,,,,,
125.0,0.0,2024-04-12 12:55:14.068889,2024-04-12 12:55:14.204004,0 days 00:00:00.135115,60.0,40.0,0.45999999999999996,0.05,0.98,COMPLETE,,,,,,,
126.0,0.0,2024-04-12 12:55:14.205147,2024-04-12 12:55:14.293077,0 days 00:00:00.087930,80.0,10.0,0.72,0.79,0.2,COMPLETE,,,,,,,
127.0,0.0,2024-04-12 12:55:14.294053,2024-04-12 12:55:14.422078,0 days 00:00:00.128025,70.0,30.0,0.6799999999999999,0.27,0.1,COMPLETE,,,,,,,
128.0,0.0,2024-04-12 12:55:14.423052,2024-04-12 12:55:14.563054,0 days 00:00:00.140002,40.0,60.0,0.33999999999999997,0.43,0.48,COMPLETE,,,,,,,
129.0,0.0,2024-04-12 12:55:14.564052,2024-04-12 12:55:14.749077,0 days 00:00:00.185025,50.0,70.0,0.8,0.7100000000000001,0.32,COMPLETE,,,,,,,
130.0,0.0,2024-04-12 12:55:14.750055,2024-04-12 12:55:14.840078,0 days 00:00:00.090023,90.0,10.0,0.9,0.55,0.36,COMPLETE,,,,,,,
131.0,0.0,2024-04-12 12:55:14.841054,2024-04-12 12:55:14.951078,0 days 00:00:00.110024,20.0,80.0,0.72,0.97,0.72,COMPLETE,,,,,,,
132.0,0.0,2024-04-12 12:55:14.952056,2024-04-12 12:55:15.106078,0 days 00:00:00.154022,30.0,90.0,0.78,0.85,0.84,COMPLETE,,,,,,,
133.0,0.0,2024-04-12 12:55:15.108053,2024-04-12 12:55:15.210082,0 days 00:00:00.102029,20.0,70.0,0.74,0.89,0.62,COMPLETE,,,,,,,
134.0,0.0,2024-04-12 12:55:15.211053,2024-04-12 12:55:15.291078,0 days 00:00:00.080025,10.0,80.0,0.84,0.9500000000000001,0.96,COMPLETE,,,,,,,
135.0,0.0,2024-04-12 12:55:15.292053,2024-04-12 12:55:15.417080,0 days 00:00:00.125027,20.0,100.0,0.56,0.03,0.8,COMPLETE,,,,,,,
136.0,0.0,2024-04-12 12:55:15.418053,2024-04-12 12:55:15.478052,0 days 00:00:00.059999,10.0,20.0,0.6799999999999999,0.33,0.9,COMPLETE,,,,,,,
137.0,0.0,2024-04-12 12:55:15.478052,2024-04-12 12:55:15.583053,0 days 00:00:00.105001,30.0,50.0,0.42000000000000004,0.75,0.92,COMPLETE,,,,,,,
138.0,0.0,2024-04-12 12:55:15.584075,2024-04-12 12:55:15.912079,0 days 00:00:00.328004,100.0,70.0,0.52,0.99,0.24000000000000002,COMPLETE,,,,,,,
139.0,0.0,2024-04-12 12:55:15.913077,2024-04-12 12:55:16.098078,0 days 00:00:00.185001,60.0,60.0,0.48,0.79,0.4,COMPLETE,,,,,,,
140.0,0.0,2024-04-12 12:55:16.100054,2024-04-12 12:55:16.159077,0 days 00:00:00.059023,20.0,10.0,0.7,0.93,0.16,COMPLETE,,,,,,,
141.0,0.0,2024-04-12 12:55:16.160079,2024-04-12 12:55:16.272054,0 days 00:00:00.111975,40.0,40.0,0.30000000000000004,0.63,0.4,COMPLETE,,,,,,,
142.0,0.0,2024-04-12 12:55:16.273077,2024-04-12 12:55:16.388845,0 days 00:00:00.115768,40.0,40.0,0.26,0.6900000000000001,0.45999999999999996,COMPLETE,,,,,,,
143.0,0.0,2024-04-12 12:55:16.389833,2024-04-12 12:55:16.475481,0 days 00:00:00.085648,30.0,30.0,0.32,0.6900000000000001,0.58,COMPLETE,,,,,,,
144.0,0.0,2024-04-12 12:55:16.476455,2024-04-12 12:55:16.575519,0 days 00:00:00.099064,40.0,30.0,0.36,0.73,0.88,COMPLETE,,,,,,,
145.0,0.0,2024-04-12 12:55:16.576494,2024-04-12 12:55:16.811550,0 days 00:00:00.235056,60.0,80.0,0.76,0.25,0.52,COMPLETE,,,,,,,
146.0,0.0,2024-04-12 12:55:16.813526,2024-04-12 12:55:17.039535,0 days 00:00:00.226009,50.0,90.0,0.28,0.5700000000000001,1.0,COMPLETE,,,,,,,
147.0,0.0,2024-04-12 12:55:17.040532,2024-04-12 12:55:17.168568,0 days 00:00:00.128036,40.0,50.0,0.22,0.65,0.38,COMPLETE,,,,,,,
148.0,0.0,2024-04-12 12:55:17.169569,2024-04-12 12:55:17.269640,0 days 00:00:00.100071,60.0,20.0,0.58,0.81,0.44000000000000006,COMPLETE,,,,,,,
149.0,0.0,2024-04-12 12:55:17.270635,2024-04-12 12:55:17.347650,0 days 00:00:00.077015,70.0,10.0,0.5,0.11,0.66,COMPLETE,,,,,,,
150.0,0.0,2024-04-12 12:55:17.348649,2024-04-12 12:55:17.431678,0 days 00:00:00.083029,40.0,20.0,0.26,0.49,0.33999999999999997,COMPLETE,,,,,,,
151.0,0.0,2024-04-12 12:55:17.433652,2024-04-12 12:55:17.702648,0 days 00:00:00.268996,80.0,70.0,0.1,0.41000000000000003,0.6799999999999999,COMPLETE,,,,,,,
152.0,0.0,2024-04-12 12:55:17.704659,2024-04-12 12:55:17.981375,0 days 00:00:00.276716,100.0,60.0,0.14,0.29000000000000004,0.74,COMPLETE,,,,,,,
