number,value,datetime_start,datetime_complete,duration,params_Max_iter,params_SearchAgents_no,params_ap,params_e_loss,params_s_force,state,SearchAgents_no,Max_iter,s_force,e_loss,ap,best_value,record_type
34.0,0.0,2024-04-12 14:54:49.011051,2024-04-12 14:54:49.062051,0 days 00:00:00.051000,20.0,20.0,0.5,0.31,1.0,COMPLETE,,,,,,,
35.0,0.0,2024-04-12 14:54:49.064051,2024-04-12 14:54:49.125051,0 days 00:00:00.061000,20.0,30.0,0.8,0.5700000000000001,0.30000000000000004,COMPLETE,,,,,,,
36.0,0.0,2024-04-12 14:54:49.127052,2024-04-12 14:54:49.172048,0 days 00:00:00.044996,10.0,20.0,0.2,0.25,0.9,COMPLETE,,,,,,,
37.0,0.0,2024-04-12 14:54:49.174053,2024-04-12 14:54:49.231051,0 days 00:00:00.056998,40.0,10.0,0.9,0.73,0.4,COMPLETE,,,,,,,
38.0,0.0,2024-04-12 14:54:49.232050,2024-04-12 14:54:49.286050,0 days 00:00:00.054000,20.0,20.0,0.7000000000000001,0.85,0.2,COMPLETE,,,,,,,
39.0,0.0,2024-04-12 14:54:49.287051,2024-04-12 14:54:49.349050,0 days 00:00:00.061999,10.0,60.0,0.30000000000000004,0.67,0.7000000000000001,COMPLETE,,,,,,,
40.0,0.0,2024-04-12 14:54:49.350050,2024-04-12 14:54:49.427052,0 days 00:00:00.077002,30.0,30.0,0.2,0.7100000000000001,1.0,COMPLETE,,,,,,,
41.0,0.0,2024-04-12 14:54:49.428052,2024-04-12 14:54:49.556050,0 days 00:00:00.127998,40.0,50.0,0.8,0.23,1.0,COMPLETE,,,,,,,
42.0,0.0,2024-04-12 14:54:49.557050,2024-04-12 14:54:49.727050,0 days 00:00:00.170000,50.0,60.0,1.0,0.13,0.9,COMPLETE,,,,,,,
43.0,0.0,2024-04-12 14:54:49.728032,2024-04-12 14:54:49.854051,0 days 00:00:00.126019,40.0,50.0,0.8,0.37,0.8,COMPLETE,,,,,,,
44.0,0.0,2024-04-12 14:54:49.855050,2024-04-12 14:54:49.947052,0 days 00:00:00.092002,30.0,40.0,0.6,0.21000000000000002,1.0,COMPLETE,,,,,,,
45.0,0.0,2024-04-12 14:54:49.948051,2024-04-12 14:54:50.074052,0 days 00:00:00.126001,40.0,50.0,0.4,0.49,0.8,COMPLETE,,,,,,,
46.0,0.0,2024-04-12 14:54:50.076056,2024-04-12 14:54:50.171050,0 days 00:00:00.094994,20.0,60.0,0.5,0.91,0.1,COMPLETE,,,,,,,
47.0,0.0,2024-04-12 14:54:50.172026,2024-04-12 14:54:50.227051,0 days 00:00:00.055025,10.0,40.0,0.7000000000000001,0.31,0.9,COMPLETE,,,,,,,
48.0,0.0,2024-04-12 14:54:50.228050,2024-04-12 14:54:50.293052,0 days 00:00:00.065002,30.0,20.0,0.9,0.45,0.4,COMPLETE,,,,,,,
49.0,0.0,2024-04-12 14:54:50.294051,2024-04-12 14:54:50.399050,0 days 00:00:00.104999,50.0,30.0,0.5,0.09,0.6,COMPLETE,,,,,,,
50.0,0.0,2024-04-12 14:54:50.400051,2024-04-12 14:54:50.447051,0 days 00:00:00.047000,10.0,20.0,0.6,0.63,0.30000000000000004,COMPLETE,,,,,,,
51.0,0.0,2024-04-12 14:54:50.448051,2024-04-12 14:54:50.510026,0 days 00:00:00.061975,20.0,30.0,0.1,0.27,1.0,COMPLETE,,,,,,,
52.0,0.0,2024-04-12 14:54:50.511050,2024-04-12 14:54:50.601051,0 days 00:00:00.090001,40.0,30.0,0.4,0.19,0.9,COMPLETE,,,,,,,
53.0,0.0,2024-04-12 14:54:50.603051,2024-04-12 14:54:50.674107,0 days 00:00:00.071056,20.0,30.0,0.1,0.77,1.0,COMPLETE,,,,,,,
54.0,0.0,2024-04-12 14:54:50.675246,2024-04-12 14:54:50.777349,0 days 00:00:00.102103,30.0,40.0,0.7000000000000001,0.89,0.2,COMPLETE,,,,,,,
55.0,0.0,2024-04-12 14:54:50.778347,2024-04-12 14:54:50.829350,0 days 00:00:00.051003,20.0,10.0,0.8,0.35000000000000003,1.0,COMPLETE,,,,,,,
56.0,0.0,2024-04-12 14:54:50.831349,2024-04-12 14:54:50.881360,0 days 00:00:00.050011,10.0,20.0,0.2,0.43,0.7000000000000001,COMPLETE,,,,,,,
57.0,0.0,2024-04-12 14:54:50.882349,2024-04-12 14:54:50.972349,0 days 00:00:00.090000,30.0,40.0,0.7000000000000001,0.27,0.8,COMPLETE,,,,,,,
