number,value,datetime_start,datetime_complete,duration,params_Max_iter,params_SearchAgents_no,params_ap,params_e_loss,params_s_force,state,SearchAgents_no,Max_iter,s_force,e_loss,ap,best_value,record_type
34.0,0.0,2024-04-12 12:50:55.624363,2024-04-12 12:50:55.878341,0 days 00:00:00.253978,100.0,40.0,0.6,0.81,0.86,COMPLETE,,,,,,,
35.0,0.0,2024-04-12 12:50:55.879342,2024-04-12 12:50:56.141044,0 days 00:00:00.261702,60.0,70.0,0.5,0.93,0.76,COMPLETE,,,,,,,
36.0,0.0,2024-04-12 12:50:56.142135,2024-04-12 12:50:56.197731,0 days 00:00:00.055596,20.0,20.0,0.36,0.73,0.54,COMPLETE,,,,,,,
37.0,0.0,2024-04-12 12:50:56.198710,2024-04-12 12:50:56.424562,0 days 00:00:00.225852,70.0,50.0,0.74,0.63,0.14,COMPLETE,,,,,,,
38.0,0.0,2024-04-12 12:50:56.426564,2024-04-12 12:50:56.847589,0 days 00:00:00.421025,90.0,80.0,0.66,0.33,0.94,COMPLETE,,,,,,,
39.0,0.0,2024-04-12 12:50:56.848588,2024-04-12 12:50:56.943588,0 days 00:00:00.095000,100.0,10.0,0.82,0.51,0.64,COMPLETE,,,,,,,
40.0,0.0,2024-04-12 12:50:56.944572,2024-04-12 12:50:57.092562,0 days 00:00:00.147990,30.0,70.0,0.28,0.43,0.82,COMPLETE,,,,,,,
41.0,0.0,2024-04-12 12:50:57.093563,2024-04-12 12:50:57.238562,0 days 00:00:00.144999,70.0,30.0,0.62,0.27,0.86,COMPLETE,,,,,,,
42.0,0.0,2024-04-12 12:50:57.239589,2024-04-12 12:50:57.369564,0 days 00:00:00.129975,60.0,30.0,0.56,0.17,0.96,COMPLETE,,,,,,,
43.0,0.0,2024-04-12 12:50:57.370564,2024-04-12 12:50:57.578564,0 days 00:00:00.208000,80.0,40.0,0.42000000000000004,0.8300000000000001,1.0,COMPLETE,,,,,,,
44.0,0.0,2024-04-12 12:50:57.579564,2024-04-12 12:50:57.963611,0 days 00:00:00.384047,70.0,90.0,0.7,0.37,0.74,COMPLETE,,,,,,,
45.0,0.0,2024-04-12 12:50:57.964589,2024-04-12 12:50:58.055562,0 days 00:00:00.090973,50.0,20.0,0.78,0.37,0.44000000000000006,COMPLETE,,,,,,,
46.0,0.0,2024-04-12 12:50:58.056562,2024-04-12 12:50:58.309914,0 days 00:00:00.253352,80.0,50.0,0.88,0.51,0.8,COMPLETE,,,,,,,
47.0,0.0,2024-04-12 12:50:58.310895,2024-04-12 12:50:58.839596,0 days 00:00:00.528701,90.0,100.0,0.96,0.43,0.66,COMPLETE,,,,,,,
48.0,0.0,2024-04-12 12:50:58.840596,2024-04-12 12:50:59.071674,0 days 00:00:00.231078,60.0,60.0,0.54,0.29000000000000004,0.58,COMPLETE,,,,,,,
49.0,0.0,2024-04-12 12:50:59.072686,2024-04-12 12:50:59.142701,0 days 00:00:00.070015,20.0,30.0,0.6799999999999999,0.99,0.36,COMPLETE,,,,,,,
50.0,0.0,2024-04-12 12:50:59.143676,2024-04-12 12:50:59.599674,0 days 00:00:00.455998,100.0,80.0,0.5,0.11,0.88,COMPLETE,,,,,,,
51.0,0.0,2024-04-12 12:50:59.600676,2024-04-12 12:50:59.709700,0 days 00:00:00.109024,20.0,70.0,0.72,0.8300000000000001,0.18,COMPLETE,,,,,,,
52.0,0.0,2024-04-12 12:50:59.711676,2024-04-12 12:50:59.848701,0 days 00:00:00.137025,20.0,90.0,0.64,0.91,0.14,COMPLETE,,,,,,,
53.0,0.0,2024-04-12 12:50:59.849674,2024-04-12 12:51:00.060703,0 days 00:00:00.211029,40.0,80.0,0.8,0.77,0.1,COMPLETE,,,,,,,
54.0,0.0,2024-04-12 12:51:00.061676,2024-04-12 12:51:00.136696,0 days 00:00:00.075020,10.0,70.0,0.86,0.85,0.24000000000000002,COMPLETE,,,,,,,
55.0,0.0,2024-04-12 12:51:00.137702,2024-04-12 12:51:00.192702,0 days 00:00:00.055000,30.0,10.0,0.62,0.23,0.32,COMPLETE,,,,,,,
56.0,0.0,2024-04-12 12:51:00.194678,2024-04-12 12:51:00.409504,0 days 00:00:00.214826,50.0,60.0,0.74,0.9500000000000001,0.2,COMPLETE,,,,,,,
57.0,0.0,2024-04-12 12:51:00.410524,2024-04-12 12:51:00.470139,0 days 00:00:00.059615,10.0,40.0,0.33999999999999997,0.6900000000000001,0.7,COMPLETE,,,,,,,
58.0,0.0,2024-04-12 12:51:00.471136,2024-04-12 12:51:00.730136,0 days 00:00:00.259000,40.0,100.0,0.14,0.61,0.28,COMPLETE,,,,,,,
59.0,0.0,2024-04-12 12:51:00.731132,2024-04-12 12:51:00.857137,0 days 00:00:00.126005,80.0,20.0,0.45999999999999996,0.37,0.16,COMPLETE,,,,,,,
60.0,0.0,2024-04-12 12:51:00.858113,2024-04-12 12:51:01.007119,0 days 00:00:00.149006,40.0,50.0,0.28,0.19,0.5,COMPLETE,,,,,,,
61.0,0.0,2024-04-12 12:51:01.008110,2024-04-12 12:51:01.177110,0 days 00:00:00.169000,30.0,80.0,0.42000000000000004,0.01,0.44000000000000006,COMPLETE,,,,,,,
62.0,0.0,2024-04-12 12:51:01.178110,2024-04-12 12:51:01.286111,0 days 00:00:00.108001,20.0,60.0,0.54,0.06999999999999999,0.98,COMPLETE,,,,,,,
63.0,0.0,2024-04-12 12:51:01.287111,2024-04-12 12:51:01.480135,0 days 00:00:00.193024,30.0,90.0,0.58,0.55,0.76,COMPLETE,,,,,,,
64.0,0.0,2024-04-12 12:51:01.481135,2024-04-12 12:51:01.597136,0 days 00:00:00.116001,20.0,70.0,0.38,0.89,0.92,COMPLETE,,,,,,,
65.0,0.0,2024-04-12 12:51:01.598136,2024-04-12 12:51:01.760111,0 days 00:00:00.161975,30.0,70.0,0.45999999999999996,0.7100000000000001,0.38,COMPLETE,,,,,,,
66.0,0.0,2024-04-12 12:51:01.761112,2024-04-12 12:51:01.934134,0 days 00:00:00.173022,30.0,80.0,0.66,0.77,0.1,COMPLETE,,,,,,,
67.0,0.0,2024-04-12 12:51:01.935111,2024-04-12 12:51:02.007112,0 days 00:00:00.072001,20.0,30.0,0.22,0.13,0.56,COMPLETE,,,,,,,
68.0,0.0,2024-04-12 12:51:02.008111,2024-04-12 12:51:02.478719,0 days 00:00:00.470608,90.0,90.0,0.5,0.05,0.82,COMPLETE,,,,,,,
69.0,0.0,2024-04-12 12:51:02.479826,2024-04-12 12:51:02.746544,0 days 00:00:00.266718,40.0,100.0,0.76,0.47000000000000003,0.62,COMPLETE,,,,,,,
70.0,0.0,2024-04-12 12:51:02.747544,2024-04-12 12:51:02.822567,0 days 00:00:00.075023,10.0,60.0,0.84,0.9500000000000001,0.22,COMPLETE,,,,,,,
71.0,0.0,2024-04-12 12:51:02.823564,2024-04-12 12:51:03.095542,0 days 00:00:00.271978,60.0,70.0,0.30000000000000004,0.79,0.48,COMPLETE,,,,,,,
72.0,0.0,2024-04-12 12:51:03.096570,2024-04-12 12:51:03.435549,0 days 00:00:00.338979,70.0,80.0,0.18,0.33,0.4,COMPLETE,,,,,,,
73.0,0.0,2024-04-12 12:51:03.436543,2024-04-12 12:51:03.610544,0 days 00:00:00.174001,60.0,40.0,0.26,0.75,0.45999999999999996,COMPLETE,,,,,,,
74.0,0.0,2024-04-12 12:51:03.612544,2024-04-12 12:51:03.928565,0 days 00:00:00.316021,70.0,70.0,0.38,0.81,0.52,COMPLETE,,,,,,,
75.0,0.0,2024-04-12 12:51:03.929542,2024-04-12 12:51:04.132567,0 days 00:00:00.203025,50.0,60.0,0.44000000000000006,0.89,0.33999999999999997,COMPLETE,,,,,,,
76.0,0.0,2024-04-12 12:51:04.133544,2024-04-12 12:51:04.315566,0 days 00:00:00.182022,80.0,30.0,0.14,0.67,0.84,COMPLETE,,,,,,,
77.0,0.0,2024-04-12 12:51:04.316564,2024-04-12 12:51:04.657696,0 days 00:00:00.341132,60.0,90.0,0.1,0.85,0.92,COMPLETE,,,,,,,
78.0,0.0,2024-04-12 12:51:04.658802,2024-04-12 12:51:04.974627,0 days 00:00:00.315825,70.0,70.0,0.6799999999999999,0.61,0.7,COMPLETE,,,,,,,
79.0,0.0,2024-04-12 12:51:04.975626,2024-04-12 12:51:05.445627,0 days 00:00:00.470001,100.0,80.0,0.58,0.23,0.88,COMPLETE,,,,,,,
80.0,0.0,2024-04-12 12:51:05.446627,2024-04-12 12:51:05.568652,0 days 00:00:00.122025,50.0,30.0,0.32,0.55,0.78,COMPLETE,,,,,,,
81.0,0.0,2024-04-12 12:51:05.569651,2024-04-12 12:51:05.800650,0 days 00:00:00.230999,70.0,50.0,0.54,0.47000000000000003,0.9,COMPLETE,,,,,,,
82.0,0.0,2024-04-12 12:51:05.801627,2024-04-12 12:51:05.921652,0 days 00:00:00.120025,70.0,20.0,0.62,0.59,0.98,COMPLETE,,,,,,,
