number,value,datetime_start,datetime_complete,duration,params_Max_iter,params_SearchAgents_no,params_ap,params_e_loss,params_lb,params_s_force,params_ub,state,SearchAgents_no,Max_iter,s_force,e_loss,ap,lb,ub,best_value,record_type
30.0,0.0,2024-04-12 12:58:03.627555,2024-04-12 12:58:03.825556,0 days 00:00:00.198001,40.0,70.0,0.96,0.6900000000000001,-20.0,0.32,40.0,COMPLETE,,,,,,,,,
31.0,0.0,2024-04-12 12:58:03.826556,2024-04-12 12:58:03.883582,0 days 00:00:00.057026,10.0,20.0,0.32,0.89,-20.0,0.16,40.0,COMPLETE,,,,,,,,,
32.0,0.0,2024-04-12 12:58:03.884557,2024-04-12 12:58:03.947579,0 days 00:00:00.063022,30.0,10.0,0.24000000000000002,0.73,-30.0,0.30000000000000004,60.0,COMPLETE,,,,,,,,,
33.0,0.0,2024-04-12 12:58:03.948577,2024-04-12 12:58:04.058581,0 days 00:00:00.110004,20.0,60.0,0.2,0.81,-10.0,0.2,50.0,COMPLETE,,,,,,,,,
34.0,0.0,2024-04-12 12:58:04.059557,2024-04-12 12:58:04.149582,0 days 00:00:00.090025,40.0,20.0,0.33999999999999997,0.91,-20.0,0.1,90.0,COMPLETE,,,,,,,,,
35.0,0.0,2024-04-12 12:58:04.150556,2024-04-12 12:58:04.414556,0 days 00:00:00.264000,50.0,80.0,0.28,0.47000000000000003,-50.0,0.98,30.0,COMPLETE,,,,,,,,,
36.0,0.0,2024-04-12 12:58:04.415558,2024-04-12 12:58:04.513582,0 days 00:00:00.098024,20.0,50.0,0.44000000000000006,0.5700000000000001,-30.0,0.36,90.0,COMPLETE,,,,,,,,,
37.0,0.0,2024-04-12 12:58:04.514557,2024-04-12 12:58:04.585582,0 days 00:00:00.071025,10.0,40.0,0.66,0.79,0.0,0.26,50.0,COMPLETE,,,,,,,,,
38.0,0.0,2024-04-12 12:58:04.586555,2024-04-12 12:58:04.695580,0 days 00:00:00.109025,40.0,30.0,0.1,0.55,-10.0,0.6,70.0,COMPLETE,,,,,,,,,
39.0,0.0,2024-04-12 12:58:04.697556,2024-04-12 12:58:04.889083,0 days 00:00:00.191527,30.0,90.0,0.38,0.63,0.0,0.82,60.0,COMPLETE,,,,,,,,,
40.0,0.0,2024-04-12 12:58:04.890063,2024-04-12 12:58:04.950083,0 days 00:00:00.060020,20.0,10.0,0.54,0.6900000000000001,-40.0,0.4,20.0,COMPLETE,,,,,,,,,
41.0,0.0,2024-04-12 12:58:04.951061,2024-04-12 12:58:05.167060,0 days 00:00:00.215999,40.0,80.0,0.22,0.85,-80.0,0.92,40.0,COMPLETE,,,,,,,,,
42.0,0.0,2024-04-12 12:58:05.168064,2024-04-12 12:58:05.379087,0 days 00:00:00.211023,30.0,100.0,0.28,0.99,-70.0,0.94,50.0,COMPLETE,,,,,,,,,
43.0,0.0,2024-04-12 12:58:05.381062,2024-04-12 12:58:05.614084,0 days 00:00:00.233022,60.0,60.0,0.16,0.75,-60.0,0.86,80.0,COMPLETE,,,,,,,,,
44.0,0.0,2024-04-12 12:58:05.616061,2024-04-12 12:58:05.762086,0 days 00:00:00.146025,50.0,40.0,0.48,0.01,-70.0,0.96,50.0,COMPLETE,,,,,,,,,
45.0,0.0,2024-04-12 12:58:05.763062,2024-04-12 12:58:05.958061,0 days 00:00:00.194999,40.0,70.0,0.66,0.27,-100.0,0.8,60.0,COMPLETE,,,,,,,,,
46.0,0.0,2024-04-12 12:58:05.960062,2024-04-12 12:58:06.381087,0 days 00:00:00.421025,80.0,90.0,0.84,0.37,-90.0,0.74,70.0,COMPLETE,,,,,,,,,
47.0,0.0,2024-04-12 12:58:06.383062,2024-04-12 12:58:06.494081,0 days 00:00:00.111019,30.0,40.0,0.18,0.47000000000000003,-50.0,0.5,40.0,COMPLETE,,,,,,,,,
48.0,0.0,2024-04-12 12:58:06.496061,2024-04-12 12:58:06.565060,0 days 00:00:00.068999,20.0,20.0,0.12000000000000001,0.19,-30.0,1.0,30.0,COMPLETE,,,,,,,,,
