number,value,datetime_start,datetime_complete,duration,params_gene_max,params_gene_min,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,gene_min,gene_max,var,best_value,record_type
31.0,0.00018887642328252523,2024-04-26 00:43:57.578064,2024-04-26 00:43:59.279137,0 days 00:00:01.701073,500.0,-240.0,0.1,620.0,450.0,2.0,COMPLETE,,,,,,,,
32.0,0.0009266728051776648,2024-04-26 00:43:59.280137,2024-04-26 00:44:01.035089,0 days 00:00:01.754952,500.0,-260.0,0.1,620.0,450.0,2.0,COMPLETE,,,,,,,,
33.0,2.593345005390344e-05,2024-04-26 00:44:01.037092,2024-04-26 00:44:03.398236,0 days 00:00:02.361144,500.0,-140.0,0.1,820.0,470.0,2.0,COMPLETE,,,,,,,,
34.0,0.000248437043822785,2024-04-26 00:44:03.400238,2024-04-26 00:44:05.964683,0 days 00:00:02.564445,460.0,-140.0,0.2,820.0,490.0,2.0,COMPLETE,,,,,,,,
35.0,0.00012713668864092512,2024-04-26 00:44:05.966688,2024-04-26 00:44:07.986137,0 days 00:00:02.019449,440.0,-120.0,0.1,820.0,410.0,2.0,COMPLETE,,,,,,,,
36.0,0.002332302698256459,2024-04-26 00:44:07.987140,2024-04-26 00:44:10.151855,0 days 00:00:02.164715,440.0,-100.0,0.1,860.0,410.0,2.0,COMPLETE,,,,,,,,
37.0,0.000208499973884327,2024-04-26 00:44:10.152863,2024-04-26 00:44:12.456952,0 days 00:00:02.304089,500.0,-180.0,0.2,780.0,470.0,2.0,COMPLETE,,,,,,,,
38.0,0.0005698842366124134,2024-04-26 00:44:12.458950,2024-04-26 00:44:14.424275,0 days 00:00:01.965325,420.0,-140.0,0.1,740.0,430.0,2.0,COMPLETE,,,,,,,,
39.0,0.0001406125629019872,2024-04-26 00:44:14.425254,2024-04-26 00:44:16.564117,0 days 00:00:02.138863,480.0,-160.0,0.30000000000000004,860.0,390.0,2.0,COMPLETE,,,,,,,,
40.0,0.0006586897945884325,2024-04-26 00:44:16.565116,2024-04-26 00:44:19.068429,0 days 00:00:02.503313,460.0,-120.0,0.6,900.0,390.0,1.0,COMPLETE,,,,,,,,
41.0,4.799485939023735e-06,2024-04-26 00:44:19.069428,2024-04-26 00:44:21.570403,0 days 00:00:02.500975,480.0,-160.0,0.30000000000000004,820.0,470.0,2.0,COMPLETE,,,,,,,,
42.0,0.0005235990478574042,2024-04-26 00:44:21.571403,2024-04-26 00:44:24.218094,0 days 00:00:02.646691,480.0,-160.0,0.30000000000000004,860.0,470.0,2.0,COMPLETE,,,,,,,,
43.0,0.003591911496158108,2024-04-26 00:44:24.219096,2024-04-26 00:44:26.274397,0 days 00:00:02.055301,440.0,-80.0,0.30000000000000004,780.0,410.0,2.0,COMPLETE,,,,,,,,
44.0,0.0006089821576087197,2024-04-26 00:44:26.276374,2024-04-26 00:44:28.418302,0 days 00:00:02.141928,480.0,-160.0,0.2,700.0,470.0,2.0,COMPLETE,,,,,,,,
45.0,0.0001575332357591475,2024-04-26 00:44:28.419303,2024-04-26 00:44:30.610416,0 days 00:00:02.191113,440.0,-120.0,0.30000000000000004,900.0,370.0,2.0,COMPLETE,,,,,,,,
46.0,0.0027448877505471805,2024-04-26 00:44:30.612422,2024-04-26 00:44:32.720214,0 days 00:00:02.107792,400.0,-180.0,0.2,820.0,410.0,2.0,COMPLETE,,,,,,,,
47.0,0.44968637110449805,2024-04-26 00:44:32.722191,2024-04-26 00:44:32.846281,0 days 00:00:00.124090,480.0,-20.0,0.8,940.0,10.0,2.0,COMPLETE,,,,,,,,
48.0,0.04242846055852805,2024-04-26 00:44:32.848280,2024-04-26 00:44:33.110380,0 days 00:00:00.262100,400.0,-200.0,0.4,700.0,50.0,2.0,COMPLETE,,,,,,,,
49.0,0.00037096014307118623,2024-04-26 00:44:33.111389,2024-04-26 00:44:35.341603,0 days 00:00:02.230214,460.0,-140.0,0.2,740.0,470.0,2.0,COMPLETE,,,,,,,,
50.0,0.00022628664302222598,2024-04-26 00:44:35.342599,2024-04-26 00:44:37.723174,0 days 00:00:02.380575,440.0,-280.0,0.5,940.0,370.0,1.0,COMPLETE,,,,,,,,
