number,value,datetime_start,datetime_complete,duration,params_alpha,params_initial_temperature,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,no_generations,mutation_ratio,var,initial_temperature,alpha,best_value,record_type
28.0,0.1744713171964296,2024-04-26 03:40:27.227652,2024-04-26 03:40:28.517219,0 days 00:00:01.289567,0.15775435648950903,83.0,0.2496366455191515,535.0,267.0,2.0,COMPLETE,,,,,,,,
29.0,0.06773532119333048,2024-04-26 03:40:28.517738,2024-04-26 03:40:29.076763,0 days 00:00:00.559025,0.44287368060050114,476.0,0.3318236000288593,571.0,105.0,2.0,COMPLETE,,,,,,,,
30.0,0.2427543390038558,2024-04-26 03:40:29.077742,2024-04-26 03:40:29.916758,0 days 00:00:00.839016,0.3324695053120532,355.0,0.45833448693222134,493.0,180.0,2.0,COMPLETE,,,,,,,,
31.0,0.0407640705110488,2024-04-26 03:40:29.917738,2024-04-26 03:40:31.383447,0 days 00:00:01.465709,0.1719064841458045,86.0,0.2441102678811778,422.0,380.0,2.0,COMPLETE,,,,,,,,
32.0,0.05123315478753554,2024-04-26 03:40:31.385452,2024-04-26 03:40:32.823340,0 days 00:00:01.437888,0.2297425854807982,76.0,0.2896388044097121,367.0,422.0,2.0,COMPLETE,,,,,,,,
33.0,0.1567037373000275,2024-04-26 03:40:32.824319,2024-04-26 03:40:34.340356,0 days 00:00:01.516037,0.29163308448638,115.0,0.1685786371527747,459.0,369.0,2.0,COMPLETE,,,,,,,,
34.0,0.0036687642968438183,2024-04-26 03:40:34.342359,2024-04-26 03:40:35.483027,0 days 00:00:01.140668,0.15842694330113652,157.0,0.21215944049094626,415.0,305.0,2.0,COMPLETE,,,,,,,,
35.0,0.01641004457947659,2024-04-26 03:40:35.484027,2024-04-26 03:40:36.907503,0 days 00:00:01.423476,0.10257382925008159,265.0,0.20130556796164784,552.0,290.0,2.0,COMPLETE,,,,,,,,
36.0,0.10040555495273473,2024-04-26 03:40:36.909514,2024-04-26 03:40:37.431437,0 days 00:00:00.521923,0.5664331442851036,215.0,0.30563276559367797,222.0,248.0,2.0,COMPLETE,,,,,,,,
37.0,0.039858156449259496,2024-04-26 03:40:37.432438,2024-04-26 03:40:38.455208,0 days 00:00:01.022770,0.7592095303875506,165.0,0.1252343989013569,375.0,306.0,1.0,COMPLETE,,,,,,,,
38.0,0.06857071485395494,2024-04-26 03:40:38.456208,2024-04-26 03:40:39.521056,0 days 00:00:01.064848,0.16770828823891346,343.0,0.5464688095267289,340.0,321.0,2.0,COMPLETE,,,,,,,,
39.0,0.009089096879630887,2024-04-26 03:40:39.522057,2024-04-26 03:40:40.190052,0 days 00:00:00.667995,0.8807586826437501,397.0,0.33712037190815985,268.0,262.0,2.0,COMPLETE,,,,,,,,
40.0,0.22826170608898977,2024-04-26 03:40:40.191057,2024-04-26 03:40:40.881911,0 days 00:00:00.690854,0.6978089474758281,201.0,0.22124109331558262,510.0,149.0,1.0,COMPLETE,,,,,,,,
41.0,0.042189528210879956,2024-04-26 03:40:40.882910,2024-04-26 03:40:42.326695,0 days 00:00:01.443785,0.19947029213836195,131.0,0.2679818006538947,405.0,388.0,2.0,COMPLETE,,,,,,,,
42.0,0.007593261424082343,2024-04-26 03:40:42.327693,2024-04-26 03:40:43.718748,0 days 00:00:01.391055,0.24822902043327263,94.0,0.15321740562613387,425.0,364.0,2.0,COMPLETE,,,,,,,,
43.0,0.002221599448063216,2024-04-26 03:40:43.719746,2024-04-26 03:40:45.653871,0 days 00:00:01.934125,0.15663281412601554,50.0,0.2721515970857845,462.0,456.0,2.0,COMPLETE,,,,,,,,
44.0,0.006001696130843115,2024-04-26 03:40:45.654871,2024-04-26 03:40:47.694956,0 days 00:00:02.040085,0.14478709350682809,58.0,0.2722056961473312,454.0,487.0,2.0,COMPLETE,,,,,,,,
45.0,0.012128043887560835,2024-04-26 03:40:47.696073,2024-04-26 03:40:49.781912,0 days 00:00:02.085839,0.31826419732287875,241.0,0.39492523752771275,485.0,458.0,2.0,COMPLETE,,,,,,,,
46.0,0.13783881557005806,2024-04-26 03:40:49.783060,2024-04-26 03:40:51.636372,0 days 00:00:01.853312,0.4604893813337118,66.0,0.4667743108976948,468.0,416.0,2.0,COMPLETE,,,,,,,,
47.0,0.018394505627183477,2024-04-26 03:40:51.637373,2024-04-26 03:40:53.000213,0 days 00:00:01.362840,0.5096518614088186,292.0,0.19147147488792682,529.0,289.0,2.0,COMPLETE,,,,,,,,
48.0,0.036368833365377995,2024-04-26 03:40:53.001211,2024-04-26 03:40:55.191591,0 days 00:00:02.190380,0.5952120046392577,129.0,0.35046190374881336,503.0,467.0,2.0,COMPLETE,,,,,,,,
49.0,0.08339253235076605,2024-04-26 03:40:55.192737,2024-04-26 03:40:56.911645,0 days 00:00:01.718908,0.25791924082742085,165.0,0.28931355590122665,411.0,443.0,1.0,COMPLETE,,,,,,,,
50.0,0.16811694038984548,2024-04-26 03:40:56.912654,2024-04-26 03:40:58.498772,0 days 00:00:01.586118,0.15016952605991174,116.0,0.1356581214165236,445.0,401.0,2.0,COMPLETE,,,,,,,,
51.0,0.01646653949327792,2024-04-26 03:40:58.499772,2024-04-26 03:40:59.751379,0 days 00:00:01.251607,0.19850097355963411,77.0,0.2388741079019129,390.0,350.0,2.0,COMPLETE,,,,,,,,
52.0,0.12860677277620347,2024-04-26 03:40:59.752381,2024-04-26 03:41:01.289294,0 days 00:00:01.536913,0.21482243915675608,52.0,0.7281196359031237,472.0,326.0,2.0,COMPLETE,,,,,,,,
53.0,0.00904162319987556,2024-04-26 03:41:01.290296,2024-04-26 03:41:02.696833,0 days 00:00:01.406537,0.18478129399342172,103.0,0.22411541477411195,429.0,360.0,2.0,COMPLETE,,,,,,,,
54.0,0.005971922917009209,2024-04-26 03:41:02.697832,2024-04-26 03:41:03.408849,0 days 00:00:00.711017,0.12982789542505196,144.0,0.17684944521897072,344.0,228.0,2.0,COMPLETE,,,,,,,,
55.0,0.043229144860751134,2024-04-26 03:41:03.409832,2024-04-26 03:41:05.163186,0 days 00:00:01.753354,0.24426226451204522,68.0,0.37269168525020124,565.0,337.0,2.0,COMPLETE,,,,,,,,
56.0,0.03305830698512757,2024-04-26 03:41:05.164184,2024-04-26 03:41:06.765535,0 days 00:00:01.601351,0.10933305551170525,95.0,0.31694572588500025,413.0,413.0,2.0,COMPLETE,,,,,,,,
57.0,0.003322218083356532,2024-04-26 03:41:06.766535,2024-04-26 03:41:08.814458,0 days 00:00:02.047923,0.28707108014246063,247.0,0.27032253987053173,586.0,385.0,2.0,COMPLETE,,,,,,,,
58.0,0.04425685959525438,2024-04-26 03:41:08.815434,2024-04-26 03:41:11.146641,0 days 00:00:02.331207,0.37797041223951433,304.0,0.2804577648172191,582.0,439.0,2.0,COMPLETE,,,,,,,,
59.0,0.06218466578072679,2024-04-26 03:41:11.148319,2024-04-26 03:41:13.338732,0 days 00:00:02.190413,0.3520381059900776,243.0,0.4141647737652381,589.0,396.0,2.0,COMPLETE,,,,,,,,
60.0,0.011038603128252333,2024-04-26 03:41:13.339732,2024-04-26 03:41:14.846308,0 days 00:00:01.506576,0.40908698531905363,274.0,0.1908960329458519,539.0,312.0,2.0,COMPLETE,,,,,,,,
61.0,0.012092179591665086,2024-04-26 03:41:14.848308,2024-04-26 03:41:16.788591,0 days 00:00:01.940283,0.27344166380805335,201.0,0.25620036503331317,559.0,381.0,2.0,COMPLETE,,,,,,,,
62.0,0.07340897806642133,2024-04-26 03:41:16.790591,2024-04-26 03:41:18.215738,0 days 00:00:01.425147,0.22153239563145913,178.0,0.2456392539032289,439.0,355.0,2.0,COMPLETE,,,,,,,,
63.0,0.013001785424803458,2024-04-26 03:41:18.216743,2024-04-26 03:41:19.969790,0 days 00:00:01.753047,0.17720629902979693,286.0,0.22560586545833639,514.0,376.0,2.0,COMPLETE,,,,,,,,
64.0,0.019045389698229442,2024-04-26 03:41:19.970811,2024-04-26 03:41:21.180901,0 days 00:00:01.210090,0.14171682117406767,252.0,0.31455176336499546,383.0,337.0,2.0,COMPLETE,,,,,,,,
65.0,0.004257181806714527,2024-04-26 03:41:21.181901,2024-04-26 03:41:22.543565,0 days 00:00:01.361664,0.287100743439403,228.0,0.3358572713063862,489.0,301.0,2.0,COMPLETE,,,,,,,,
66.0,0.0347792411499217,2024-04-26 03:41:22.544565,2024-04-26 03:41:23.497169,0 days 00:00:00.952604,0.33656836247590605,328.0,0.2914798333243306,360.0,287.0,2.0,COMPLETE,,,,,,,,
67.0,0.10656650166417947,2024-04-26 03:41:23.498167,2024-04-26 03:41:24.445466,0 days 00:00:00.947299,0.1952455925369229,151.0,0.37269888739300305,524.0,194.0,2.0,COMPLETE,,,,,,,,
68.0,0.029340630279783397,2024-04-26 03:41:24.446465,2024-04-26 03:41:26.736993,0 days 00:00:02.290528,0.4906670237135199,82.0,0.14074821129364012,600.0,430.0,2.0,COMPLETE,,,,,,,,
69.0,0.012345933952563115,2024-04-26 03:41:26.739992,2024-04-26 03:41:27.983421,0 days 00:00:01.243429,0.5418939167423084,122.0,0.10051978004027386,547.0,258.0,2.0,COMPLETE,,,,,,,,
70.0,0.03712481982401705,2024-04-26 03:41:27.984422,2024-04-26 03:41:30.091063,0 days 00:00:02.106641,0.6177262728036779,51.0,0.202586198131116,462.0,499.0,2.0,COMPLETE,,,,,,,,
71.0,0.10632368640287204,2024-04-26 03:41:30.093040,2024-04-26 03:41:31.567957,0 days 00:00:01.474917,0.40714683800794305,182.0,0.26230190174996565,477.0,339.0,2.0,COMPLETE,,,,,,,,
72.0,0.01023077039366882,2024-04-26 03:41:31.569956,2024-04-26 03:41:32.922221,0 days 00:00:01.352265,0.31079333381932817,212.0,0.39594761118276545,521.0,276.0,2.0,COMPLETE,,,,,,,,
73.0,0.0029768588985543687,2024-04-26 03:41:32.923219,2024-04-26 03:41:34.912014,0 days 00:00:01.988795,0.22794359252551621,159.0,0.35335266725282655,577.0,369.0,2.0,COMPLETE,,,,,,,,
74.0,0.03304752633765062,2024-04-26 03:41:34.913018,2024-04-26 03:41:36.918402,0 days 00:00:02.005384,0.22709069760367695,160.0,0.2273172046115643,575.0,387.0,2.0,COMPLETE,,,,,,,,
75.0,0.01955177556256693,2024-04-26 03:41:36.920403,2024-04-26 03:41:38.839798,0 days 00:00:01.919395,0.16720857612734813,94.0,0.3463885407042734,563.0,369.0,2.0,COMPLETE,,,,,,,,
76.0,0.07524232648918527,2024-04-26 03:41:38.840925,2024-04-26 03:41:41.041498,0 days 00:00:02.200573,0.26999177301606486,71.0,0.6048297925718779,552.0,408.0,2.0,COMPLETE,,,,,,,,
77.0,0.0009850222386234009,2024-04-26 03:41:41.042500,2024-04-26 03:41:42.628918,0 days 00:00:01.586418,0.14080317733297087,173.0,0.321984053439883,539.0,319.0,2.0,COMPLETE,,,,,,,,
78.0,0.10772187685266132,2024-04-26 03:41:42.629918,2024-04-26 03:41:44.243742,0 days 00:00:01.613824,0.12424792918134377,230.0,0.4794758012207992,538.0,317.0,2.0,COMPLETE,,,,,,,,
79.0,0.007312043563770132,2024-04-26 03:41:44.244901,2024-04-26 03:41:46.108809,0 days 00:00:01.863908,0.10520978724205277,173.0,0.3069022431452889,575.0,355.0,2.0,COMPLETE,,,,,,,,
80.0,0.020448818130862634,2024-04-26 03:41:46.110787,2024-04-26 03:41:47.928329,0 days 00:00:01.817542,0.15196669157418805,199.0,0.5319113235971189,585.0,324.0,2.0,COMPLETE,,,,,,,,
81.0,0.01034153550058825,2024-04-26 03:41:47.930330,2024-04-26 03:41:49.710490,0 days 00:00:01.780160,0.20279890777618936,131.0,0.275065326708008,500.0,389.0,2.0,COMPLETE,,,,,,,,
82.0,0.13497755233816378,2024-04-26 03:41:49.712489,2024-04-26 03:41:50.943357,0 days 00:00:01.230868,0.2305997596942452,189.0,0.32861878084963164,396.0,333.0,2.0,COMPLETE,,,,,,,,
83.0,0.05963995466972705,2024-04-26 03:41:50.944357,2024-04-26 03:41:52.207380,0 days 00:00:01.263023,0.1313461888565042,144.0,0.42303874147107456,444.0,301.0,2.0,COMPLETE,,,,,,,,
84.0,0.09021235766085489,2024-04-26 03:41:52.208380,2024-04-26 03:41:53.626182,0 days 00:00:01.417802,0.1788588656177413,110.0,0.1800880781581446,421.0,370.0,2.0,COMPLETE,,,,,,,,
85.0,0.04126904997765202,2024-04-26 03:41:53.627183,2024-04-26 03:41:55.529996,0 days 00:00:01.902813,0.25056159743573725,62.0,0.36903995655599126,594.0,344.0,2.0,COMPLETE,,,,,,,,
86.0,0.05993335685602119,2024-04-26 03:41:55.531002,2024-04-26 03:41:57.867660,0 days 00:00:02.336658,0.16586368529339282,253.0,0.24483373512293138,558.0,454.0,1.0,COMPLETE,,,,,,,,
87.0,0.13794127115071575,2024-04-26 03:41:57.868640,2024-04-26 03:41:59.009196,0 days 00:00:01.140556,0.20482248837475947,496.0,0.29676632704614836,434.0,283.0,2.0,COMPLETE,,,,,,,,
88.0,0.0608658018224002,2024-04-26 03:41:59.011198,2024-04-26 03:42:00.708875,0 days 00:00:01.697677,0.1871245309153635,211.0,0.8890805214857147,531.0,313.0,2.0,COMPLETE,,,,,,,,
89.0,0.0002502744251451361,2024-04-26 03:42:00.710875,2024-04-26 03:42:02.336648,0 days 00:00:01.625773,0.6752913126316678,88.0,0.20623812340542833,451.0,397.0,2.0,COMPLETE,,,,,,,,
90.0,0.010075086560391355,2024-04-26 03:42:02.338671,2024-04-26 03:42:04.307726,0 days 00:00:01.969055,0.6866312118452151,134.0,0.1617378636920699,453.0,478.0,2.0,COMPLETE,,,,,,,,
91.0,0.003459951432718711,2024-04-26 03:42:04.309704,2024-04-26 03:42:05.800315,0 days 00:00:01.490611,0.7994798223319776,89.0,0.21494626282164792,412.0,395.0,2.0,COMPLETE,,,,,,,,
92.0,0.002516336348637793,2024-04-26 03:42:05.802315,2024-04-26 03:42:07.310037,0 days 00:00:01.507722,0.7945604109888268,84.0,0.2119061287250798,412.0,401.0,2.0,COMPLETE,,,,,,,,
93.0,0.053109868035141616,2024-04-26 03:42:07.312037,2024-04-26 03:42:08.865531,0 days 00:00:01.553494,0.8101655601667652,102.0,0.21801233924959165,401.0,423.0,2.0,COMPLETE,,,,,,,,
94.0,0.013015740757042593,2024-04-26 03:42:08.867509,2024-04-26 03:42:10.354673,0 days 00:00:01.487164,0.7307158420460486,88.0,0.19178190345499446,408.0,400.0,2.0,COMPLETE,,,,,,,,
95.0,0.00235692051859715,2024-04-26 03:42:10.355673,2024-04-26 03:42:11.749675,0 days 00:00:01.394002,0.8077936682813619,122.0,0.23023785127016677,387.0,390.0,2.0,COMPLETE,,,,,,,,
96.0,0.039257033681343145,2024-04-26 03:42:11.750679,2024-04-26 03:42:13.646069,0 days 00:00:01.895390,0.7989439977924763,121.0,0.23388491121910376,508.0,409.0,2.0,COMPLETE,,,,,,,,
97.0,0.03459506587423711,2024-04-26 03:42:13.648082,2024-04-26 03:42:14.989917,0 days 00:00:01.341835,0.8620869794529687,74.0,0.20794955299372947,373.0,395.0,2.0,COMPLETE,,,,,,,,
98.0,0.13732814710983732,2024-04-26 03:42:14.991568,2024-04-26 03:42:16.380824,0 days 00:00:01.389256,0.7784669849781903,99.0,0.2687096531399027,353.0,421.0,2.0,COMPLETE,,,,,,,,
99.0,0.05081594339374895,2024-04-26 03:42:16.382818,2024-04-26 03:42:17.914187,0 days 00:00:01.531369,0.8425618962576394,62.0,0.25551672525345376,381.0,436.0,2.0,COMPLETE,,,,,,,,
