number,value,datetime_start,datetime_complete,duration,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,var,best_value,record_type
35.0,0.007083051033301757,2024-04-25 23:38:11.682375,2024-04-25 23:38:16.182246,0 days 00:00:04.499871,0.1,740.0,670.0,1.0,COMPLETE,,,,,,
36.0,0.030376695171876023,2024-04-25 23:38:16.183246,2024-04-25 23:38:19.833076,0 days 00:00:03.649830,0.1,540.0,740.0,1.0,COMPLETE,,,,,,
37.0,0.05081617699077512,2024-04-25 23:38:19.835074,2024-04-25 23:38:24.375643,0 days 00:00:04.540569,0.4,780.0,610.0,1.0,COMPLETE,,,,,,
38.0,0.00016639055099254563,2024-04-25 23:38:24.376644,2024-04-25 23:38:32.824478,0 days 00:00:08.447834,0.30000000000000004,920.0,950.0,1.0,COMPLETE,,,,,,
39.0,0.0015312627563712766,2024-04-25 23:38:32.826454,2024-04-25 23:38:41.251598,0 days 00:00:08.425144,0.2,920.0,950.0,2.0,COMPLETE,,,,,,
40.0,0.008887515880084962,2024-04-25 23:38:41.252599,2024-04-25 23:38:49.361647,0 days 00:00:08.109048,0.1,920.0,940.0,2.0,COMPLETE,,,,,,
41.0,0.002804176794727553,2024-04-25 23:38:49.363646,2024-04-25 23:38:58.004414,0 days 00:00:08.640768,0.2,920.0,970.0,2.0,COMPLETE,,,,,,
42.0,0.0003451239571763409,2024-04-25 23:38:58.005415,2024-04-25 23:39:06.390938,0 days 00:00:08.385523,0.30000000000000004,860.0,1000.0,2.0,COMPLETE,,,,,,
43.0,0.003163563024727978,2024-04-25 23:39:06.391938,2024-04-25 23:39:14.387932,0 days 00:00:07.995994,0.2,840.0,990.0,2.0,COMPLETE,,,,,,
44.0,0.0043077539480691485,2024-04-25 23:39:14.388929,2024-04-25 23:39:22.778928,0 days 00:00:08.389999,0.4,900.0,940.0,2.0,COMPLETE,,,,,,
45.0,0.009857438223136228,2024-04-25 23:39:22.779928,2024-04-25 23:39:32.190683,0 days 00:00:09.410755,0.1,1000.0,1000.0,2.0,COMPLETE,,,,,,
46.0,0.000640433687244979,2024-04-25 23:39:32.191683,2024-04-25 23:39:38.915473,0 days 00:00:06.723790,0.30000000000000004,940.0,760.0,2.0,COMPLETE,,,,,,
47.0,0.0053383943919325105,2024-04-25 23:39:38.916473,2024-04-25 23:39:45.549318,0 days 00:00:06.632845,0.4,940.0,740.0,2.0,COMPLETE,,,,,,
48.0,0.008792946938065427,2024-04-25 23:39:45.550317,2024-04-25 23:39:52.504203,0 days 00:00:06.953886,0.6,840.0,820.0,2.0,COMPLETE,,,,,,
49.0,0.042802709920360726,2024-04-25 23:39:52.505205,2024-04-25 23:39:56.219452,0 days 00:00:03.714247,0.30000000000000004,740.0,550.0,2.0,COMPLETE,,,,,,
50.0,0.015221083069640429,2024-04-25 23:39:56.220451,2024-04-25 23:40:02.555727,0 days 00:00:06.335276,0.7000000000000001,960.0,660.0,2.0,COMPLETE,,,,,,
51.0,0.002838377254651192,2024-04-25 23:40:02.556727,2024-04-25 23:40:10.171480,0 days 00:00:07.614753,0.2,880.0,920.0,2.0,COMPLETE,,,,,,
52.0,0.008651672614046646,2024-04-25 23:40:10.172626,2024-04-25 23:40:16.050198,0 days 00:00:05.877572,0.30000000000000004,820.0,760.0,2.0,COMPLETE,,,,,,
53.0,0.004508092853383161,2024-04-25 23:40:16.052220,2024-04-25 23:40:21.291654,0 days 00:00:05.239434,0.2,960.0,610.0,2.0,COMPLETE,,,,,,
54.0,0.02277764868973975,2024-04-25 23:40:21.292654,2024-04-25 23:40:28.155030,0 days 00:00:06.862376,0.1,900.0,830.0,2.0,COMPLETE,,,,,,
55.0,0.021711931889162983,2024-04-25 23:40:28.156030,2024-04-25 23:40:37.023195,0 days 00:00:08.867165,0.4,1000.0,910.0,2.0,COMPLETE,,,,,,
56.0,0.002939272419459016,2024-04-25 23:40:37.024191,2024-04-25 23:40:40.757190,0 days 00:00:03.732999,0.30000000000000004,400.0,960.0,2.0,COMPLETE,,,,,,
57.0,0.02589483183779251,2024-04-25 23:40:40.759191,2024-04-25 23:40:47.046917,0 days 00:00:06.287726,0.9,860.0,700.0,2.0,COMPLETE,,,,,,
58.0,0.0055494484633307195,2024-04-25 23:40:47.048919,2024-04-25 23:40:50.103465,0 days 00:00:03.054546,0.2,740.0,470.0,2.0,COMPLETE,,,,,,
59.0,0.016730323779587053,2024-04-25 23:40:50.105456,2024-04-25 23:40:52.667270,0 days 00:00:02.561814,0.30000000000000004,940.0,310.0,2.0,COMPLETE,,,,,,
60.0,0.00436411753664423,2024-04-25 23:40:52.668269,2024-04-25 23:40:57.892702,0 days 00:00:05.224433,0.2,660.0,840.0,1.0,COMPLETE,,,,,,
61.0,0.0018455843383069492,2024-04-25 23:40:57.893678,2024-04-25 23:41:04.951067,0 days 00:00:07.057389,0.30000000000000004,820.0,890.0,1.0,COMPLETE,,,,,,
62.0,0.000756489416602335,2024-04-25 23:41:04.952067,2024-04-25 23:41:12.014199,0 days 00:00:07.062132,0.30000000000000004,820.0,890.0,1.0,COMPLETE,,,,,,
63.0,0.04018471983522787,2024-04-25 23:41:12.015183,2024-04-25 23:41:19.497845,0 days 00:00:07.482662,0.2,880.0,900.0,1.0,COMPLETE,,,,,,
64.0,0.005924463378052636,2024-04-25 23:41:19.498844,2024-04-25 23:41:22.143922,0 days 00:00:02.645078,0.30000000000000004,280.0,960.0,1.0,COMPLETE,,,,,,
65.0,0.008887243103769649,2024-04-25 23:41:22.144923,2024-04-25 23:41:28.841426,0 days 00:00:06.696503,0.5,780.0,860.0,1.0,COMPLETE,,,,,,
66.0,0.0045028394456547716,2024-04-25 23:41:28.843427,2024-04-25 23:41:36.811749,0 days 00:00:07.968322,0.4,840.0,950.0,1.0,COMPLETE,,,,,,
67.0,0.0543652062434532,2024-04-25 23:41:36.812750,2024-04-25 23:41:40.068973,0 days 00:00:03.256223,0.1,460.0,780.0,1.0,COMPLETE,,,,,,
68.0,0.0061087666956289866,2024-04-25 23:41:40.069973,2024-04-25 23:41:48.778899,0 days 00:00:08.708926,0.2,900.0,1000.0,1.0,COMPLETE,,,,,,
69.0,0.05220753060176264,2024-04-25 23:41:48.779906,2024-04-25 23:41:52.236856,0 days 00:00:03.456950,0.4,660.0,560.0,1.0,COMPLETE,,,,,,
70.0,0.004067936727960131,2024-04-25 23:41:52.237857,2024-04-25 23:42:00.870568,0 days 00:00:08.632711,0.30000000000000004,960.0,920.0,1.0,COMPLETE,,,,,,
71.0,0.03251020108323921,2024-04-25 23:42:00.871567,2024-04-25 23:42:07.852782,0 days 00:00:06.981215,0.30000000000000004,820.0,880.0,1.0,COMPLETE,,,,,,
72.0,0.003354565289013678,2024-04-25 23:42:07.853767,2024-04-25 23:42:14.778276,0 days 00:00:06.924509,0.30000000000000004,800.0,900.0,1.0,COMPLETE,,,,,,
73.0,0.0018742725088820578,2024-04-25 23:42:14.779274,2024-04-25 23:42:21.488098,0 days 00:00:06.708824,0.2,860.0,830.0,1.0,COMPLETE,,,,,,
74.0,0.006159726382685804,2024-04-25 23:42:21.489101,2024-04-25 23:42:26.793413,0 days 00:00:05.304312,0.30000000000000004,760.0,740.0,1.0,COMPLETE,,,,,,
75.0,0.025933192204483646,2024-04-25 23:42:26.794506,2024-04-25 23:42:34.372445,0 days 00:00:07.577939,0.2,920.0,870.0,1.0,COMPLETE,,,,,,
76.0,0.00183303412638125,2024-04-25 23:42:34.373447,2024-04-25 23:42:39.411541,0 days 00:00:05.038094,0.1,820.0,680.0,1.0,COMPLETE,,,,,,
77.0,0.03221353546100225,2024-04-25 23:42:39.412543,2024-04-25 23:42:43.840100,0 days 00:00:04.427557,0.1,720.0,680.0,1.0,COMPLETE,,,,,,
78.0,0.07521844178183557,2024-04-25 23:42:43.841121,2024-04-25 23:42:44.987580,0 days 00:00:01.146459,0.1,160.0,760.0,2.0,COMPLETE,,,,,,
