number,value,datetime_start,datetime_complete,duration,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,var,best_value,record_type
35.0,-988.7879572184867,2024-04-25 22:43:40.542176,2024-04-25 22:43:47.831939,0 days 00:00:07.289763,0.6,580.0,930.0,1.0,COMPLETE,,,,,,
36.0,-985.3953104470086,2024-04-25 22:43:47.833927,2024-04-25 22:43:55.141004,0 days 00:00:07.307077,0.9,920.0,590.0,2.0,COMPLETE,,,,,,
37.0,-987.7943375622644,2024-04-25 22:43:55.141999,2024-04-25 22:43:59.156353,0 days 00:00:04.014354,0.6,720.0,440.0,2.0,COMPLETE,,,,,,
38.0,-975.9411491278825,2024-04-25 22:43:59.157374,2024-04-25 22:44:02.681052,0 days 00:00:03.523678,0.30000000000000004,820.0,360.0,1.0,COMPLETE,,,,,,
39.0,-967.571286675257,2024-04-25 22:44:02.682052,2024-04-25 22:44:04.870893,0 days 00:00:02.188841,0.7000000000000001,640.0,270.0,2.0,COMPLETE,,,,,,
40.0,-989.148164701983,2024-04-25 22:44:04.871898,2024-04-25 22:44:14.715337,0 days 00:00:09.843439,0.8,1000.0,730.0,1.0,COMPLETE,,,,,,
41.0,-989.0545473749335,2024-04-25 22:44:14.716337,2024-04-25 22:44:21.308685,0 days 00:00:06.592348,0.8,760.0,650.0,2.0,COMPLETE,,,,,,
42.0,-988.3400718935402,2024-04-25 22:44:21.309686,2024-04-25 22:44:27.997433,0 days 00:00:06.687747,1.0,740.0,660.0,2.0,COMPLETE,,,,,,
43.0,-989.053566684551,2024-04-25 22:44:27.998424,2024-04-25 22:44:33.682046,0 days 00:00:05.683622,0.9,880.0,490.0,2.0,COMPLETE,,,,,,
44.0,-989.6096345324672,2024-04-25 22:44:33.684048,2024-04-25 22:44:39.309006,0 days 00:00:05.624958,0.7000000000000001,540.0,780.0,2.0,COMPLETE,,,,,,
45.0,-989.6741350586094,2024-04-25 22:44:39.310005,2024-04-25 22:44:44.236944,0 days 00:00:04.926939,0.7000000000000001,480.0,770.0,2.0,COMPLETE,,,,,,
46.0,-989.3887756854504,2024-04-25 22:44:44.238944,2024-04-25 22:44:49.247341,0 days 00:00:05.008397,0.7000000000000001,480.0,790.0,2.0,COMPLETE,,,,,,
47.0,-984.6825941668596,2024-04-25 22:44:49.248362,2024-04-25 22:44:53.979455,0 days 00:00:04.731093,0.6,420.0,850.0,2.0,COMPLETE,,,,,,
48.0,-989.3592587185165,2024-04-25 22:44:53.980454,2024-04-25 22:44:57.125585,0 days 00:00:03.145131,0.7000000000000001,300.0,780.0,2.0,COMPLETE,,,,,,
49.0,-989.5079500895049,2024-04-25 22:44:57.126559,2024-04-25 22:45:02.140780,0 days 00:00:05.014221,0.6,540.0,710.0,2.0,COMPLETE,,,,,,
50.0,-986.3351494493867,2024-04-25 22:45:02.141782,2024-04-25 22:45:04.392385,0 days 00:00:02.250603,0.5,280.0,620.0,2.0,COMPLETE,,,,,,
51.0,-989.3248841922909,2024-04-25 22:45:04.393384,2024-04-25 22:45:13.407993,0 days 00:00:09.014609,1.0,660.0,960.0,2.0,COMPLETE,,,,,,
52.0,-989.0258358607425,2024-04-25 22:45:13.408972,2024-04-25 22:45:22.925892,0 days 00:00:09.516920,0.9,800.0,860.0,2.0,COMPLETE,,,,,,
53.0,-988.8846631369297,2024-04-25 22:45:22.926896,2024-04-25 22:45:26.243390,0 days 00:00:03.316494,0.5,340.0,760.0,2.0,COMPLETE,,,,,,
54.0,-987.3140188054045,2024-04-25 22:45:26.245368,2024-04-25 22:45:33.145362,0 days 00:00:06.899994,0.7000000000000001,540.0,940.0,2.0,COMPLETE,,,,,,
55.0,-985.881697408959,2024-04-25 22:45:33.146369,2024-04-25 22:45:35.244334,0 days 00:00:02.097965,1.0,180.0,820.0,2.0,COMPLETE,,,,,,
56.0,-989.2206339347879,2024-04-25 22:45:35.245335,2024-04-25 22:45:40.877264,0 days 00:00:05.631929,0.9,460.0,890.0,2.0,COMPLETE,,,,,,
57.0,-988.674529518076,2024-04-25 22:45:40.878261,2024-04-25 22:45:47.196825,0 days 00:00:06.318564,0.8,680.0,690.0,2.0,COMPLETE,,,,,,
58.0,-985.2073773280608,2024-04-25 22:45:47.197825,2024-04-25 22:45:54.868172,0 days 00:00:07.670347,0.4,800.0,750.0,2.0,COMPLETE,,,,,,
59.0,-987.4089235057099,2024-04-25 22:45:54.869193,2024-04-25 22:46:00.984086,0 days 00:00:06.114893,0.30000000000000004,600.0,800.0,2.0,COMPLETE,,,,,,
