number,value,datetime_start,datetime_complete,duration,params_mutation_ratio,params_no_generations,params_population_size,params_var,state,population_size,mutation_ratio,no_generations,var,best_value,record_type
35.0,0.005137940729308425,2024-04-26 00:33:59.239333,2024-04-26 00:33:59.318333,0 days 00:00:00.079000,1.0,60.0,110.0,1.0,COMPLETE,,,,,,
36.0,0.031858535974324226,2024-04-26 00:33:59.319334,2024-04-26 00:33:59.449335,0 days 00:00:00.130001,0.5,220.0,70.0,2.0,COMPLETE,,,,,,
37.0,0.047675458084502687,2024-04-26 00:33:59.450335,2024-04-26 00:33:59.510309,0 days 00:00:00.059974,0.1,420.0,10.0,1.0,COMPLETE,,,,,,
38.0,0.0002841297064099068,2024-04-26 00:33:59.511316,2024-04-26 00:34:00.090333,0 days 00:00:00.579017,0.6,220.0,350.0,1.0,COMPLETE,,,,,,
39.0,0.001256434625205215,2024-04-26 00:34:00.091334,2024-04-26 00:34:02.082264,0 days 00:00:01.990930,0.4,900.0,330.0,2.0,COMPLETE,,,,,,
40.0,0.0003194441963093988,2024-04-26 00:34:02.083240,2024-04-26 00:34:04.016327,0 days 00:00:01.933087,0.6,700.0,370.0,1.0,COMPLETE,,,,,,
41.0,0.0007309994912266443,2024-04-26 00:34:04.019327,2024-04-26 00:34:05.928498,0 days 00:00:01.909171,0.6,700.0,370.0,1.0,COMPLETE,,,,,,
42.0,0.00043703314859254677,2024-04-26 00:34:05.929499,2024-04-26 00:34:08.004166,0 days 00:00:02.074667,0.5,820.0,350.0,1.0,COMPLETE,,,,,,
43.0,0.002384381606145289,2024-04-26 00:34:08.005164,2024-04-26 00:34:10.230202,0 days 00:00:02.225038,0.7000000000000001,660.0,430.0,1.0,COMPLETE,,,,,,
44.0,0.00022246322505067184,2024-04-26 00:34:10.232234,2024-04-26 00:34:11.853373,0 days 00:00:01.621139,0.4,740.0,310.0,1.0,COMPLETE,,,,,,
45.0,0.0010725000933158072,2024-04-26 00:34:11.854517,2024-04-26 00:34:13.059317,0 days 00:00:01.204800,0.4,580.0,290.0,1.0,COMPLETE,,,,,,
46.0,9.709980756187934e-06,2024-04-26 00:34:13.060316,2024-04-26 00:34:14.831895,0 days 00:00:01.771579,0.30000000000000004,860.0,310.0,1.0,COMPLETE,,,,,,
47.0,4.272332688548163e-05,2024-04-26 00:34:14.832872,2024-04-26 00:34:16.712570,0 days 00:00:01.879698,0.4,860.0,310.0,1.0,COMPLETE,,,,,,
48.0,0.0015000230236534044,2024-04-26 00:34:16.713568,2024-04-26 00:34:18.356071,0 days 00:00:01.642503,0.30000000000000004,900.0,270.0,1.0,COMPLETE,,,,,,
49.0,0.0004954484955016615,2024-04-26 00:34:18.357070,2024-04-26 00:34:20.035107,0 days 00:00:01.678037,0.30000000000000004,820.0,310.0,1.0,COMPLETE,,,,,,
50.0,0.0004953224009189923,2024-04-26 00:34:20.036106,2024-04-26 00:34:21.219151,0 days 00:00:01.183045,0.2,860.0,210.0,1.0,COMPLETE,,,,,,
51.0,0.0008974982562954524,2024-04-26 00:34:21.221149,2024-04-26 00:34:23.164239,0 days 00:00:01.943090,0.2,980.0,310.0,1.0,COMPLETE,,,,,,
52.0,0.0024125863304987737,2024-04-26 00:34:23.165240,2024-04-26 00:34:24.531217,0 days 00:00:01.365977,0.4,780.0,250.0,1.0,COMPLETE,,,,,,
53.0,0.004701769392622427,2024-04-26 00:34:24.532241,2024-04-26 00:34:26.077167,0 days 00:00:01.544926,0.30000000000000004,740.0,310.0,1.0,COMPLETE,,,,,,
